"2023-10-26 00:16:45 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - Starting Lab1Application using Java 21.0.1 with PID 12688 (C:\Labs\Technologies_of_programming_in_the_Internet\Lab1\target\classes started by kiril in C:\Labs\Technologies_of_programming_in_the_Internet\Lab1)
""2023-10-26 00:16:45 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - No active profile set, falling back to 1 default profile: "default"
""2023-10-26 00:16:45 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2023-10-26 00:16:45 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2023-10-26 00:16:47 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-10-26 00:16:47 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-10-26 00:16:47 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
""2023-10-26 00:16:47 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-10-26 00:16:47 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1278 ms
""2023-10-26 00:16:47 [restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
""2023-10-26 00:16:47 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-10-26 00:16:47 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-10-26 00:16:47 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-10-26 00:16:47 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - Started Lab1Application in 2.302 seconds (process running for 3.17)
""2023-10-26 00:17:12 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-10-26 00:17:12 [http-nio-8080-exec-1] INFO  b.g.lab1.controller.AlbumController - /index was called
""2023-10-26 00:17:14 [http-nio-8080-exec-5] INFO  b.g.lab1.controller.AlbumController - /allalbums was called
""2023-10-26 00:17:18 [http-nio-8080-exec-8] INFO  b.g.lab1.controller.AlbumController - /addalbum was called
""2023-10-26 00:17:24 [http-nio-8080-exec-4] INFO  b.g.lab1.controller.AlbumController - /remove was called
""2023-10-26 00:17:33 [http-nio-8080-exec-5] INFO  b.g.lab1.controller.AlbumController - /editalbum was called
""2023-10-26 00:17:38 [http-nio-8080-exec-9] INFO  b.g.lab1.controller.AlbumController - /allalbums was called
""2023-10-26 13:05:34 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - Starting Lab1Application using Java 21.0.1 with PID 21052 (C:\Labs\Technologies_of_programming_in_the_Internet\Lab1\target\classes started by kiril in C:\Labs\Technologies_of_programming_in_the_Internet\Lab1)
""2023-10-26 13:05:34 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - No active profile set, falling back to 1 default profile: "default"
""2023-10-26 13:05:34 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2023-10-26 13:05:34 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2023-10-26 13:05:35 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-10-26 13:05:35 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-10-26 13:05:35 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
""2023-10-26 13:05:35 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-10-26 13:05:35 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1525 ms
""2023-10-26 13:05:35 [restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
